date	cases	deaths	healed	critical	severe
2020-02-21	19		1	0	0	0
2020-02-22	74		2	0	0	0
2020-02-23	149		3	0	0	0
2020-02-24	222		7	0	27	101
2020-02-25	311		10	1	35	114
2020-02-26	385		12	3	36	128
2020-02-27	588		17	45	56	248
2020-02-28	821		21	46	64	345
2020-02-29	1049	29	50	105	401
2020-03-01	1577	34	83	140	639
2020-03-02	1885	52	149	166	742
2020-03-03	2263	79	160	229	1034
2020-03-04	2703	107	217	295	1344
2020-03-05	3296	148	414	351	1790
2020-03-06	3916	197	523	462	2394
2020-03-07	5061	233	589	567	2651
2020-03-08	7375	366	622	650	3557
